citizen_id,party_voted_past,mvar1,mvar2,mvar3,mvar4,mvar5,mvar6,mvar7,mvar8,mvar9,mvar10,mvar11,mvar12,mvar13,mvar14,mvar15,mvar16,mvar17,mvar18,mvar19,mvar20,mvar21,mvar22,mvar23,mvar24,mvar25,mvar26,mvar27,mvar28,mvar29,mvar30,mvar31,mvar32,mvar33,actual_vote
C48129,Cosmos,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,15,0,15,0,15,3,46-55,1,0,Degree,6,AMR,AOV,Cosmos
C48130,Ebony,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,15,0,0,0,3,36-45,1,0,Degree,6,AQU,AQU,Ebony
C48131,Cosmos,1,0,1,1,11,1,0,1,0,4,0,0,0,0,1,0,0,0,1,5,0,0,0,15,0,4,55+,1,0,Degree,5,AWX,ATI,Cosmos
C48132,Centaur,8,0,0,5,2,2,0,0,3,2,3,0,0,0,0,0,0,0,2,0,15,0,0,15,7,3,18-24,1,1,Masters,7,AZP,ATI,Centaur
C48133,Odyssey,0,0,0,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,4,25-35,1,0,Masters,7,AOT,AXG,Odyssey
C48134,Ebony,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,15,1,18-24,1,0,Masters,5,ARW,AWX,Cosmos
C48135,Centaur,3,0,2,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,15,0,15,0,0,3,25-35,0,1,Masters,4,AJV,AUB,Tokugawa
C48136,Centaur,2,1,2,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,15,15,15,0,0,4,25-35,1,0,Degree,7,APH,ACL,Centaur
C48137,Cosmos,0,0,0,0,7,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,15,3,25-35,0,0,Degree,7,AMS,AMS,Cosmos
C48138,Cosmos,0,2,0,0,7,0,0,0,0,3,0,0,0,0,2,0,2,0,0,0,0,15,0,0,15,3,25-35,1,0,Masters,6,AMS,AUE,Ebony
C48139,Cosmos,0,1,0,0,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,18-24,1,0,Primary,9,ASC,AJI,Cosmos
C48140,Tokugawa,0,0,7,3,0,0,0,2,1,0,0,0,1,1,0,0,0,3,0,0,0,0,15,13,0,3,25-35,0,0,Masters,8,AEC,AEC,Tokugawa
C48141,Odyssey,0,0,0,10,6,0,0,0,9,2,0,0,0,0,1,0,0,0,1,0,0,0,0,15,11,3,25-35,0,0,Primary,5,ACD,AHR,Odyssey
C48142,Ebony,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,1,25-35,1,0,Degree,6,AII,ACL,Centaur
C48143,Cosmos,0,0,0,1,4,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,15,15,3,46-55,1,0,Degree,8,AWX,AJI,Cosmos
C48144,Cosmos,2,0,0,0,8,0,0,0,0,2,0,0,0,0,0,1,0,0,0,4,0,15,0,0,0,3,55+,1,0,Degree,8,AEC,AHR,Centaur
C48145,Odyssey,0,2,0,6,1,0,2,0,5,1,0,0,0,0,0,0,0,0,1,0,0,10,0,15,0,4,18-24,1,1,Degree,6,ASE,ASE,Ebony
C48146,Odyssey,0,0,2,6,4,0,0,1,2,0,0,0,0,2,2,0,0,1,0,0,0,0,15,15,15,4,36-45,1,1,Degree,7,ANO,AJI,Odyssey
C48147,Cosmos,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,4,18-24,0,1,Diploma,7,AWX,AWX,Cosmos
C48148,Tokugawa,0,0,8,1,0,0,0,1,0,0,0,0,2,0,0,0,0,2,1,0,0,0,15,15,0,3,25-35,0,0,Masters,8,AQU,AEC,Tokugawa
